TE0001	47890261082394
TE0002	47890277859610
TE0003	47890294636826
TE0004	47890311414042
TE0005	47890328191258
TE0006	47890344968474
TE0007	47890361745690
TE0008	47890378522906
TE0009	47890395300122
TE0010	47890412077338
TE0011	47890428854554
TE0012	47890445631770
TE0013	47890462408986
TE0014	47890479186202
TE0015	47890495963418
TE0016	47890512740634
TE0017	47890529517850
TE0018	47890546295066
TE0019	47890563072282
TE0020	47890579849498
TE0021	47890596626714
TE0022	47890613403930
TE0023	47890630181146
TE0024	47890646958362
TE0025	47890663735578
TE0026	47890680512794
TE0027	47890697290010
TE0028	47890714067226
TE0029	47890730844442
TE0030	47890747621658
TE0031	47890764398874
TE0032	47890781176090
TE0033	47890797953306
TE0034	47890814730522
TE0035	47890831507738
TE0036	47890848284954
TE0037	47890865062170
TE0038	47890881839386
TE0039	47890898616602
TE0040	47890915393818
TE0041	47890932171034
TE0042	47890948948250
TE0043	47890965725466
TE0044	47890982502682
TE0045	47890999279898
TE0046	47891016057114
TE0047	47891032834330
TE0048	47891049611546
TE0049	47891066388762
TE0050	47891083165978
TE0051	47891099943194
TE0052	47891116720410
TE0053	47891133497626
TE0054	47891150274842
TE0055	47891167052058
TE0056	47891183829274
TE0057	47891200606490
TE0058	47891217383706
TE0059	47891234160922
TE0060	47891250938138
TE0061	47891267715354
TE0062	47891284492570
TE0063	47891301269786
TE0064	47891318047002
TE0065	47891334824218
TE0066	47891351601434
TE0067	47891368378650
TE0068	47891385155866
TE0069	47891401933082
TE0070	47891418710298
TE0071	47891435487514
TE0072	47891452264730
TE0115	47892173685018
TE0116	47892190462234
TE0117	47892207239450
TE0118	47892224016666
TE0119	47892240793882
