TE0001;7.385
TE0002;7.267
TE0003;7.149
TE0004;7.031
TE0005;6.913
TE0006;6.795
TE0007;6.677
TE0008;6.559
TE0009;6.441
TE0010;6.323
TE0011;6.205
TE0012;6.087
TE0013;5.969
TE0014;5.851
TE0015;5.733
TE0016;5.615
TE0017;5.497
TE0018;5.379
TE0019;5.143
TE0020;4.907
TE0021;4.671
TE0022;4.435
TE0023;4.199
TE0024;3.963
TE0025;3.727
TE0026;3.491
TE0027;3.255
TE0028;3.019
TE0029;2.783
TE0030;2.547
TE0031;2.311
TE0032;2.193
TE0033;2.075
TE0034;1.957
TE0035;1.839
TE0036;1.721
TE0037;1.603
TE0038;1.485
TE0039;1.367
TE0040;1.249
TE0041;1.131
TE0042;1.013
TE0043;0.895
TE0044;0.777
TE0045;0.659
TE0046;0.541
TE0047;0.423
TE0048;0.305
TE0049;0.673
TE0050;0.571
TE0051;0.470
TE0052;0.368
TE0053;0.267
TE0054;0.165
TE0055;3.619
TE0056;3.111
TE0057;2.603
TE0058;2.095
TE0059;1.587
TE0060;1.079
TE0061;6.667
TE0062;6.159
TE0063;5.651
TE0064;5.143
TE0065;4.635
TE0066;4.127
TE0067;-1
TE0068;7.582
TE0069;7.480
TE0070;7.379
TE0071;7.277
TE0072;7.175
TE0115;6.325
TE0116;4.965
TE0117;3.605
TE0118;2.245
TE0119;0.885
