TE0805;6.681
TE0806;6.511
TE0807;6.341
TE0808;6.171
TE0801;5.331
TE0802;5.161
TE0803;4.991
TE0804;4.821
TE0721;3.963
TE0722;3.793
TE0723;3.623
TE0724;3.453
TE0717;2.604
TE0718;2.434
TE0719;2.264
TE0720;2.094
TE0713;1.247
TE0714;1.077
TE0715;0.907
TE0716;0.737
LT0501;7.406
LT0502;7.396
LT0503;7.386
LT0504;7.376
LT0505;7.366
LT0506;7.356
LT0507;7.186
LT0508;7.016
LT0509;6.846
TE0605;6.006
TE0606;5.836
TE0607;5.666
TE0608;5.496
TE0601;4.66
TE0602;4.49
TE0603;4.32
TE0604;4.15
TE0521;3.287
TE0522;3.117
TE0523;2.947
TE0524;2.777
TE0517;1.933
TE0518;1.763
TE0519;1.593
TE0520;1.423
TE0513;0.544
TE0514;0.374
TE0515;0.204
TE0516;0.034
